INFO:root:Started
INFO:root:Front-end заработал
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '282', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '34'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '872'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '452', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '565', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '599', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '716', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '960', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '357'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '186'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '295', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '635', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '52'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '306', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '712'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '722', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '878'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '211', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '460'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '37'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '30'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '963', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '399', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '711', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '931'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '426'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '693'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '836', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '639'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '69', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '21'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '164', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '541'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '946', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '882', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '590', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '661', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '636', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '837', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '360'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '924', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '612', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '881'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '637'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '478', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '527'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '933', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '489', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '459', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '879', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '705', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '390'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '229', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '245', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '654', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '277', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '787', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '555', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '157', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '179'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '448', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '507', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '898'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '359', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '698', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '914'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '880'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '78'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '285', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '407'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '788', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '123'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '528'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '885', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '915', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '844'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '821'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '858', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '229', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '818', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '833'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '125'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '371'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '56'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '113', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '469', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '691'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '412', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '41', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '770'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '528'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '26'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '837', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '773'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '397'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '46'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '57'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '31', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '488'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '264', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '753'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '165', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '188'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '819'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '188', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '563', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '258', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '17'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '938'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '871'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '280', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '326', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '131', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '39'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '291', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '736', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '320'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '424'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '168'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '716'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '5'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '436'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '926'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '302'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '857', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '819', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '835', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '374', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '546'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '692'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '76', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '419'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '129', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '437', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '362'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '727', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '197'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '1'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '354', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '', 'decrease': '509'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40911', 'status': 'Выполнена', 'increase': '651', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '811', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '689', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '780', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '878', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '818', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '19', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '119'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '661'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '37'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '415'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '606'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '627', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '515'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '67', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '845', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '72', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '605'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '970', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '299', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '809'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '371', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '903'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '71'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '', 'decrease': '258'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '4'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '55'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '911'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '888', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '731'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '592'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '', 'decrease': '177'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '188', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '602'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '837'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '94'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '683'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '920'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '279'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '815', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Выполнена', 'increase': '', 'decrease': '859'}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '346', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40719', 'status': 'Исключен', 'increase': '67', 'decrease': ''}
INFO:root:Найдена проводка {'date': '03-03-2021', 'corr': '40719', 'status': 'Выполнена', 'increase': '164', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '695', 'decrease': ''}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '984'}
INFO:root:Найдена проводка {'date': '05-05-2021', 'corr': '40811', 'status': 'Выполнена', 'increase': '', 'decrease': '965'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40911', 'status': 'Исключен', 'increase': '', 'decrease': '928'}
INFO:root:Найдена проводка {'date': '05-03-2021', 'corr': '40811', 'status': 'Исключен', 'increase': '', 'decrease': '317'}
INFO:root:Найдена проводка {'date': '03-05-2021', 'corr': '40717', 'status': 'Исключен', 'increase': '', 'decrease': '266'}
